file	sat_total	triv_total	to_total	rounds	wall_s	NBeg	NEnd	gain_pct	exit
ILA_Flute_BGEU_problem	0	0	0	0	103.21	1613228	1407257	12.77	ok
ILA_Flute_BLT_problem	0	0	0	0	94.73	1613164	1407334	12.76	ok
ILA_Flute_SRAI_problem	0	0	0	0	112.04	1614149	1411854	12.53	ok
ILA_Flute_XORI_sanity	0	0	0	0	121.52	1617800	1419828	12.24	ok
Problem05_label42+token_ring.04.cil-2	0	0	0	0	52.02	243358	69307	71.52	ok
Problem05_label43+token_ring.03.cil-1	0	0	0	0	32.62	236394	62419	73.60	ok
Problem05_label47+token_ring.13.cil-2	0	0	0	0	133.51	324370	148995	54.07	ok
Problem05_label49+token_ring.06.cil-2	0	0	0	0	58.22	258405	84190	67.42	ok
Problem11_label08	0	0	0	0	30.89	400072	283645	29.10	ok
pals_lcr.3.ufo.BOUNDED-6.pals+Problem12_label01	0	0	0	0	154.35	1573287	1238099	21.30	ok
