file	sat_total	triv_total	to_total	rounds	wall_s	NBeg	NEnd	gain_pct	exit
ILA_Flute_BGEU_problem	0	0	0	0	141.86	1613228	1402559	13.06	ok
ILA_Flute_BLT_problem	0	0	0	0	173.40	1613164	1402665	13.05	ok
ILA_Flute_SRAI_problem	0	0	0	0	165.69	1614149	1408398	12.75	ok
ILA_Flute_XORI_sanity	0	0	0	0	156.97	1617800	1413806	12.61	ok
Problem05_label42+token_ring.04.cil-2	0	0	0	0	141.10	243358	69307	71.52	ok
Problem05_label43+token_ring.03.cil-1	0	0	0	0	99.38	236394	62419	73.60	ok
Problem05_label47+token_ring.13.cil-2	0	0	0	0	507.60	324370	149003	54.06	ok
Problem05_label49+token_ring.06.cil-2	0	0	0	0	398.65	258405	84198	67.42	ok
Problem11_label08	0	0	0	0	52.98	400072	283900	29.04	ok
pals_lcr.3.ufo.BOUNDED-6.pals+Problem12_label01	0	0	0	0	238.25	1573287	1238774	21.26	ok
