file	sat_total	triv_total	to_total	rounds	wall_s	NBeg	NEnd	gain_pct	exit
ILA_Flute_BGEU_problem	0	0	0	0	91.82	1613228	1404285	12.95	ok
ILA_Flute_BLT_problem	0	0	0	0	99.24	1613164	1403295	13.01	ok
ILA_Flute_SRAI_problem	0	0	0	0	92.49	1614149	1410308	12.63	ok
ILA_Flute_XORI_sanity	0	0	0	0	113.18	1617800	1415813	12.49	ok
Problem05_label42+token_ring.04.cil-2	0	0	0	0	52.09	243358	69307	71.52	ok
Problem05_label43+token_ring.03.cil-1	0	0	0	0	32.58	236394	62419	73.60	ok
Problem05_label47+token_ring.13.cil-2	0	0	0	0	134.02	324370	148995	54.07	ok
Problem05_label49+token_ring.06.cil-2	0	0	0	0	58.69	258405	84190	67.42	ok
Problem11_label08	0	0	0	0	31.51	400072	283645	29.10	ok
pals_lcr.3.ufo.BOUNDED-6.pals+Problem12_label01	0	0	0	0	156.04	1573287	1238099	21.30	ok
