file	sat_total	triv_total	to_total	rounds	wall_s	NBeg	NEnd	gain_pct	exit
ILA_Flute_BGEU_problem	0	0	0	0	51.97	1613228	1406047	12.84	ok
ILA_Flute_BLT_problem	0	0	0	0	59.51	1613164	1407027	12.78	ok
ILA_Flute_SRAI_problem	0	0	0	0	59.72	1614149	1412365	12.50	ok
ILA_Flute_XORI_sanity	0	0	0	0	59.66	1617800	1417380	12.39	ok
Problem05_label42+token_ring.04.cil-2	0	0	0	0	52.34	243358	69307	71.52	ok
Problem05_label43+token_ring.03.cil-1	0	0	0	0	32.57	236394	62419	73.60	ok
Problem05_label47+token_ring.13.cil-2	0	0	0	0	134.95	324370	148995	54.07	ok
Problem05_label49+token_ring.06.cil-2	0	0	0	0	59.14	258405	84190	67.42	ok
Problem11_label08	0	0	0	0	31.89	400072	283645	29.10	ok
pals_lcr.3.ufo.BOUNDED-6.pals+Problem12_label01	0	0	0	0	157.19	1573287	1238099	21.30	ok
